latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
12.8981,17.05807,306.38,0.45,0.47,2023-10-08,1,1,VIIRS,n,2.0NRT,292.4,1.89,N
15.64695,32.48124,308.57,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,296.55,4.43,N
-3.79575,28.6553,302.93,0.39,0.59,2023-10-08,3,1,VIIRS,n,2.0NRT,282.41,0.76,N
-3.79523,28.65172,296.97,0.39,0.59,2023-10-08,3,1,VIIRS,n,2.0NRT,283.37,0.76,N
-3.66492,28.84476,296.32,0.4,0.6,2023-10-08,3,1,VIIRS,n,2.0NRT,282.76,0.4,N
-3.57364,30.73516,296.98,0.54,0.68,2023-10-08,3,1,VIIRS,n,2.0NRT,279.7,0.6,N
-3.51274,30.44191,296.77,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.7,1.26,N
-3.51213,30.43768,305.71,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.02,1.53,N
-3.51162,30.44215,299.98,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.33,1.94,N
-3.51098,30.43793,325.73,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.31,1.94,N
-3.50665,30.44262,317.46,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,282.3,3.97,N
-3.50606,30.4385,318.79,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.62,3.75,N
-3.50553,30.44279,307.11,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.31,1.94,N
-3.50491,30.43871,307.87,0.51,0.66,2023-10-08,3,1,VIIRS,n,2.0NRT,281.33,1.94,N
-2.90837,25.3726,315.64,0.45,0.47,2023-10-08,3,1,VIIRS,n,2.0NRT,287.91,1.28,N
-2.90777,25.36863,321.03,0.45,0.47,2023-10-08,3,1,VIIRS,n,2.0NRT,287.78,2.52,N
-2.90412,25.37327,301.75,0.45,0.47,2023-10-08,3,1,VIIRS,n,2.0NRT,287.58,1.28,N
-2.79286,29.23506,299.64,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.87,1.93,N
