"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,338,1254,1190,-18.25320047456,136.93154623529
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,331,1256,1198,-18.18625262433,136.89721878937
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,331,1257,1198,-18.188138121754,136.88797323129
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,328,1334,971,-20.338007618739,136.61788304626
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,328,1335,971,-20.33985587011,136.60850998247
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,325,1338,1007,-20.027347223148,136.51009302236
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,326,1339,1010,-20.002684434644,136.49488592909
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,338,1347,1026,-19.876064427623,136.38890556006
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,368,1349,1029,-19.853244543773,136.36437831706
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,383,1349,1030,-19.844409833733,136.36243450079
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,357,1350,1033,-19.819748029044,136.3472592008
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,329,1354,1039,-19.774097042052,136.29823380643
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,327,1379,903,-21.021078355943,136.3272907013
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,340,1384,956,-20.562119477602,136.17782504444
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,320,1396,1068,-19.594693428619,135.85002720294
S3A_SL_1_RBT____20231005T125106_20231005T125406_20231006T210436_0179_104_123_5580_PS1_O_NT_004,"2023-10-05 12:51:06",S3A,332,1398,1072,-19.563001324221,135.82369324151
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,350,481,481,-12.344492023204,142.91540358732
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,350,482,481,-12.346636961155,142.90647145465
